VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2022-10-01T01:23:57.0000000,2022-10-01T01:27:41.0000000,N,1,223,223,1,1.16,5.5,0.5,0.5,0,0,,0.3,6.8,1,1,0
2,2022-10-01T01:49:52.0000000,2022-10-01T01:54:59.0000000,N,1,179,7,2,0.63,5,0.5,0.5,1.5,0,,0.3,7.8,1,1,0
2,2022-10-01T01:28:48.0000000,2022-10-01T01:40:56.0000000,N,1,260,82,1,1.26,9,0.5,0.5,3.09,0,,0.3,13.39,1,1,0
2,2022-10-01T02:00:23.0000000,2022-10-01T02:34:29.0000000,N,1,129,216,1,11.2,36,0.5,0.5,0,0,,0.3,37.3,2,1,0
2,2022-10-01T01:01:18.0000000,2022-10-01T01:09:48.0000000,N,1,129,129,5,1.02,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2022-10-01T01:17:58.0000000,2022-10-01T01:39:34.0000000,N,1,36,145,5,3.75,16.5,0.5,0.5,3.56,0,,0.3,21.36,1,1,0
2,2022-10-01T01:31:40.0000000,2022-10-01T01:31:54.0000000,N,5,80,80,2,1.45,65,0,0,14.37,6.55,,0.3,86.22,1,2,0
2,2022-10-01T01:47:30.0000000,2022-10-01T01:55:06.0000000,N,1,80,112,1,1.82,8,0.5,0.5,2.32,0,,0.3,11.62,1,1,0
2,2022-10-01T01:13:54.0000000,2022-10-01T01:30:56.0000000,N,1,247,151,1,3.58,14.5,0.5,0.5,3.16,0,,0.3,18.96,1,1,0
2,2022-10-01T01:08:31.0000000,2022-10-01T01:25:34.0000000,N,1,130,38,1,4.84,16,0.5,0.5,5,0,,0.3,22.3,1,1,0
2,2022-10-01T01:37:30.0000000,2022-10-01T01:59:07.0000000,N,5,80,79,5,5.19,60,0,0,12.61,0,,0.3,75.66,1,2,2.75
2,2022-10-01T01:13:57.0000000,2022-10-01T01:23:37.0000000,N,1,82,196,1,2.16,9.5,0.5,0.5,10,0,,0.3,20.8,1,1,0
2,2022-10-01T01:13:57.0000000,2022-10-01T01:31:52.0000000,N,1,82,82,1,0,2.5,0.5,0.5,4,0,,0,7.5,1,1,0
2,2022-10-01T01:31:33.0000000,2022-10-01T01:42:19.0000000,N,1,25,181,1,2.18,9.5,0.5,0.5,2.16,0,,0.3,12.96,1,1,0
2,2022-10-01T01:21:46.0000000,2022-10-01T01:42:35.0000000,N,5,126,74,1,4.68,20,0,0,3,0,,0.3,23.3,1,2,0
